,index,doc_id,token,token_order,lemma,ent_type,tag,dep,pos,is_stop,is_alpha,is_digit,is_punct,syllables,syllables_count
20,5,1,el,5,el,,DET,det,DET,True,True,False,False,['el'],1.0
21,6,1,cuello,6,cuello,,NOUN,nmod,NOUN,False,True,False,False,"['cue', 'llo']",2.0
23,8,1,las,8,el,,DET,det,DET,True,True,False,False,['las'],1.0
24,9,1,manos,9,mano,,NOUN,obj,NOUN,False,True,False,False,"['ma', 'nos']",2.0
25,10,1,en,10,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
26,11,1,los,11,el,,DET,det,DET,True,True,False,False,['los'],1.0
27,12,1,bolsillos,12,bolsillo,,NOUN,nmod,NOUN,False,True,False,False,"['bol', 'si', 'llos']",3.0
29,0,2,Mi,0,mi,MISC,DET,det,DET,True,True,False,False,['mi'],1.0
30,1,2,amor,1,amor,MISC,NOUN,nsubj,NOUN,False,True,False,False,['amor'],1.0
31,2,2,por,2,por,,ADP,case,ADP,True,True,False,False,['por'],1.0
32,3,2,aquella,3,aquel,,DET,det,DET,True,True,False,False,"['aque', 'lla']",2.0
33,4,2,necesidad,4,necesidad,,NOUN,obl,NOUN,False,True,False,False,"['ne', 'ce', 'si', 'dad']",4.0
34,5,2,había,5,haber,PER,AUX,aux,AUX,True,True,False,False,"['ha', 'bía']",2.0
35,6,2,suprimido,6,suprimir,,VERB,ROOT,VERB,False,True,False,False,"['su', 'pri', 'mi', 'do']",4.0
36,7,2,el,7,el,,DET,det,DET,True,True,False,False,['el'],1.0
37,8,2,pasado,8,pasado,,NOUN,obj,NOUN,True,True,False,False,"['pa', 'sa', 'do']",3.0
38,9,2,y,9,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
39,10,2,toda,10,todo,,DET,det,DET,True,True,False,False,"['to', 'da']",2.0
40,11,2,atadura,11,atadura,,NOUN,conj,NOUN,False,True,False,False,"['ata', 'du', 'ra']",3.0
41,12,2,con,12,con,,ADP,case,ADP,True,True,False,False,['con'],1.0
42,13,2,el,13,el,,DET,det,DET,True,True,False,False,['el'],1.0
43,14,2,presente,14,presente,,NOUN,nmod,NOUN,False,True,False,False,"['pre', 'sen', 'te']",3.0
45,0,3,Enderezó,0,enderezar,ORG,VERB,ROOT,VERB,False,True,False,False,"['en', 'de', 're', 'zó']",4.0
46,1,3,la,1,el,,DET,det,DET,True,True,False,False,['la'],1.0
47,2,3,cabeza,2,cabeza,,NOUN,obj,NOUN,False,True,False,False,"['ca', 'be', 'za']",3.0
48,3,3,y,3,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
49,4,3,continuó,4,continuar,,VERB,conj,VERB,False,True,False,False,"['con', 'ti', 'nuó']",3.0
50,5,3,mirándome,5,mirándomar,,VERB,advcl,VERB,False,True,False,False,"['mi', 'rán', 'do', 'me']",4.0
51,6,3,en,6,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
52,7,3,silencio,7,silencio,,NOUN,obl,NOUN,False,True,False,False,"['si', 'len', 'cio']",3.0
54,0,4,Usted,0,usted,PER,PRON,nsubj,PRON,True,True,False,False,"['us', 'ted']",2.0
55,1,4,no,1,no,,ADV,advmod,ADV,True,True,False,False,['no'],1.0
56,2,4,se,2,él,,PRON,obj,PRON,True,True,False,False,['se'],1.0
57,3,4,va,3,ir,,AUX,aux,AUX,True,True,False,False,['va'],1.0
58,4,4,a,4,a,,ADP,mark,ADP,False,True,False,False,['a'],1.0
59,5,4,casar,5,casar,,VERB,ROOT,VERB,False,True,False,False,"['ca', 'sar']",2.0
60,6,4,con,6,con,,ADP,case,ADP,True,True,False,False,['con'],1.0
61,7,4,ella,7,él,,PRON,obj,PRON,True,True,False,False,['ella'],1.0
62,8,4,porque,8,porque,,SCONJ,mark,SCONJ,True,True,False,False,"['por', 'que']",2.0
63,9,4,usted,9,usted,,PRON,nsubj,PRON,True,True,False,False,"['us', 'ted']",2.0
64,10,4,es,10,ser,,AUX,cop,AUX,True,True,False,False,['es'],1.0
65,11,4,viejo,11,viejo,,ADJ,advcl,ADJ,False,True,False,False,"['vie', 'jo']",2.0
66,12,4,y,12,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
67,13,4,ella,13,él,,PRON,nsubj,PRON,True,True,False,False,['ella'],1.0
68,14,4,es,14,ser,,AUX,cop,AUX,True,True,False,False,['es'],1.0
69,15,4,joven,15,joven,,ADJ,conj,ADJ,False,True,False,False,"['jo', 'ven']",2.0
71,0,5,No,0,no,,ADV,advmod,ADV,True,True,False,False,['no'],1.0
72,1,5,sé,1,saber,,VERB,ROOT,VERB,True,True,False,False,['sé'],1.0
73,2,5,si,2,si,,SCONJ,mark,SCONJ,True,True,False,False,['si'],1.0
74,3,5,usted,3,usted,,PRON,nsubj,PRON,True,True,False,False,"['us', 'ted']",2.0
75,4,5,tiene,4,tener,,VERB,ccomp,VERB,True,True,False,False,"['tie', 'ne']",2.0
76,5,5,treinta,5,treinta,,NUM,obj,NUM,False,True,False,False,"['trein', 'ta']",2.0
77,6,5,o,6,o,,CCONJ,cc,CCONJ,False,True,False,False,['o'],1.0
78,7,5,cuarenta,7,cuarenta,,NUM,nummod,NUM,False,True,False,False,"['cua', 'ren', 'ta']",3.0
79,8,5,años,8,año,,NOUN,conj,NOUN,False,True,False,False,['años'],1.0
81,10,5,no,10,no,,ADV,advmod,ADV,True,True,False,False,['no'],1.0
82,11,5,importa,11,importar,,VERB,ccomp,VERB,False,True,False,False,"['im', 'por', 'ta']",3.0
84,0,6,Claro,0,claro,,ADV,advmod,ADV,True,True,False,False,"['cla', 'ro']",2.0
85,1,6,que,1,que,,SCONJ,mark,SCONJ,True,True,False,False,['que'],1.0
86,2,6,usted,2,usted,,PRON,nsubj,PRON,True,True,False,False,"['us', 'ted']",2.0
87,3,6,tiene,3,tener,,VERB,ROOT,VERB,True,True,False,False,"['tie', 'ne']",2.0
88,4,6,motivos,4,motivo,,NOUN,obj,NOUN,False,True,False,False,"['mo', 'ti', 'vos']",3.0
89,5,6,para,5,para,,ADP,mark,ADP,True,True,False,False,"['pa', 'ra']",2.0
90,6,6,creer,6,creer,,VERB,acl,VERB,False,True,False,False,['creer'],1.0
91,7,6,en,7,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
92,8,6,lo,8,él,,PRON,det,PRON,True,True,False,False,['lo'],1.0
93,9,6,extraordinario,9,extraordinario,,ADJ,obj,ADJ,False,True,False,False,"['ex', 'tra', 'or', 'di', 'na', 'rio']",6.0
94,10,6,suyo,10,suyo,,DET,det,DET,True,True,False,False,"['su', 'yo']",2.0
96,0,7,Está,0,estar,PER,AUX,cop,AUX,True,True,False,False,"['es', 'tá']",2.0
97,1,7,atado,1,atado,,ADJ,ROOT,ADJ,False,True,False,False,"['ata', 'do']",2.0
98,2,7,a,2,a,,ADP,case,ADP,False,True,False,False,['a'],1.0
99,3,7,cosas,3,cosa,,NOUN,obj,NOUN,True,True,False,False,"['co', 'sas']",2.0
100,4,7,miserables,4,miserable,,ADJ,amod,ADJ,False,True,False,False,"['mi', 'se', 'ra', 'bles']",4.0
101,5,7,y,5,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
102,6,7,son,6,ser,,AUX,cop,AUX,True,True,False,False,['son'],1.0
103,7,7,las,7,el,,DET,det,DET,True,True,False,False,['las'],1.0
104,8,7,cosas,8,cosa,,NOUN,conj,NOUN,True,True,False,False,"['co', 'sas']",2.0
105,9,7,las,9,el,,DET,det,DET,True,True,False,False,['las'],1.0
106,10,7,que,10,que,,PRON,nsubj,PRON,True,True,False,False,['que'],1.0
107,11,7,lo,11,él,,PRON,obj,PRON,True,True,False,False,['lo'],1.0
108,12,7,arrastran,12,arrastrar,,VERB,csubj,VERB,False,True,False,False,"['arras', 'tran']",2.0
110,0,8,La,0,el,,DET,det,DET,True,True,False,False,['la'],1.0
111,1,8,música,1,música,,NOUN,nsubj,NOUN,False,True,False,False,"['mú', 'si', 'ca']",3.0
112,2,8,era,2,ser,,AUX,cop,AUX,True,True,False,False,['era'],1.0
113,3,8,poco,3,poco,,ADV,advmod,ADV,True,True,False,False,"['po', 'co']",2.0
114,4,8,fuerte,4,fuerte,,ADJ,ROOT,ADJ,False,True,False,False,"['fuer', 'te']",2.0
116,6,8,alguien,6,alguien,,PRON,nsubj,PRON,False,True,False,False,"['al', 'guien']",2.0
117,7,8,cantaba,7,cantar,,VERB,advcl,VERB,False,True,False,False,"['can', 'ta', 'ba']",3.0
118,8,8,dulcemente,8,dulcemente,,ADV,advmod,ADV,False,True,False,False,"['dul', 'ce', 'men', 'te']",4.0
119,9,8,en,9,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
120,10,8,el,10,el,,DET,det,DET,True,True,False,False,['el'],1.0
121,11,8,interior,11,interior,,NOUN,obl,NOUN,False,True,False,False,"['in', 'te', 'rior']",3.0
122,12,8,de,12,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
123,13,8,grandes,13,grande,,ADJ,amod,ADJ,True,True,False,False,"['gran', 'des']",2.0
124,14,8,pausas,14,pausa,,NOUN,nmod,NOUN,False,True,False,False,"['pau', 'sas']",2.0
126,0,9,No,0,no,,ADV,advmod,ADV,True,True,False,False,['no'],1.0
127,1,9,había,1,haber,,AUX,ROOT,AUX,True,True,False,False,"['ha', 'bía']",2.0
128,2,9,ya,2,ya,,ADV,advmod,ADV,True,True,False,False,['ya'],1.0
129,3,9,experiencias,3,experiencia,,NOUN,obj,NOUN,False,True,False,False,"['ex', 'pe', 'rien', 'cias']",4.0
131,5,9,nada,5,nada,,NOUN,advmod,NOUN,True,True,False,False,"['na', 'da']",2.0
132,6,9,más,6,más,,ADV,fixed,ADV,True,True,False,False,['más'],1.0
133,7,9,que,7,que,,SCONJ,fixed,SCONJ,True,True,False,False,['que'],1.0
134,8,9,costumbre,8,costumbre,,NOUN,fixed,NOUN,False,True,False,False,"['cos', 'tum', 'bre']",3.0
135,9,9,y,9,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
136,10,9,repeticiones,10,repetición,,NOUN,conj,NOUN,False,True,False,False,"['re', 'pe', 'ti', 'cio', 'nes']",5.0
138,0,10,Ausente,0,ausente,,ADV,advmod,ADV,False,True,False,False,"['au', 'sen', 'te']",3.0
139,1,10,y,1,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
140,2,10,perdida,2,perdido,,ADJ,conj,ADJ,False,True,False,False,"['per', 'di', 'da']",3.0
141,3,10,para,3,para,,ADP,case,ADP,True,True,False,False,"['pa', 'ra']",2.0
142,4,10,siempre,4,siempre,,ADV,advmod,ADV,True,True,False,False,"['siem', 'pre']",2.0
144,6,10,podía,6,poder,,AUX,aux,AUX,False,True,False,False,"['po', 'día']",2.0
145,7,10,conservarse,7,conservar él,,VERB,ROOT,VERB,False,True,False,False,"['con', 'ser', 'var', 'se']",4.0
146,8,10,viviente,8,viviente,,ADV,advmod,ADV,False,True,False,False,"['vi', 'vien', 'te']",3.0
147,9,10,e,9,e,,CCONJ,cc,CCONJ,False,True,False,False,['e'],1.0
148,10,10,intacta,10,intacto,,ADJ,conj,ADJ,False,True,False,False,"['in', 'tac', 'ta']",3.0
150,0,11,Todo,0,todo,,DET,det,DET,True,True,False,False,"['to', 'do']",2.0
151,1,11,el,1,el,,DET,det,DET,True,True,False,False,['el'],1.0
152,2,11,tiempo,2,tiempo,,NOUN,nsubj,NOUN,True,True,False,False,"['tiem', 'po']",2.0
153,3,11,pensando,3,pensar,,VERB,ROOT,VERB,False,True,False,False,"['pen', 'san', 'do']",3.0
154,4,11,en,4,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
155,5,11,Bob,5,Bob,PER,PROPN,obj,PROPN,False,True,False,False,['bob'],1.0
157,7,11,en,7,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
158,8,11,su,8,su,,DET,det,DET,True,True,False,False,['su'],1.0
159,9,11,pureza,9,pureza,,NOUN,obl,NOUN,False,True,False,False,"['pu', 're', 'za']",3.0
161,11,11,su,11,su,,DET,det,DET,True,True,False,False,['su'],1.0
162,12,11,fe,12,fe,,NOUN,appos,NOUN,False,True,False,False,['fe'],1.0
164,14,11,en,14,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
165,15,11,la,15,el,,DET,det,DET,True,True,False,False,['la'],1.0
166,16,11,audacia,16,audacia,,NOUN,obl,NOUN,False,True,False,False,"['au', 'da', 'cia']",3.0
167,17,11,de,17,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
168,18,11,sus,18,su,,DET,det,DET,True,True,False,False,['sus'],1.0
169,19,11,pasados,19,pasado,,ADJ,amod,ADJ,False,True,False,False,"['pa', 'sa', 'dos']",3.0
170,20,11,sueños,20,sueño,,NOUN,nmod,NOUN,False,True,False,False,"['sue', 'ños']",2.0
172,0,12,Nadie,0,nadie,,PRON,nsubj,PRON,True,True,False,False,"['na', 'die']",2.0
173,1,12,amó,1,amar,,VERB,ROOT,VERB,False,True,False,False,['amó'],1.0
174,2,12,a,2,a,,ADP,case,ADP,False,True,False,False,['a'],1.0
175,3,12,mujer,3,mujer,,NOUN,iobj,NOUN,False,True,False,False,"['mu', 'jer']",2.0
176,4,12,alguna,4,alguno,,DET,obj,DET,True,True,False,False,"['al', 'gu', 'na']",3.0
177,5,12,con,5,con,,ADP,case,ADP,True,True,False,False,['con'],1.0
178,6,12,la,6,el,,DET,det,DET,True,True,False,False,['la'],1.0
179,7,12,fuerza,7,fuerza,,NOUN,obl,NOUN,False,True,False,False,"['fuer', 'za']",2.0
180,8,12,con,8,con,,ADP,case,ADP,True,True,False,False,['con'],1.0
181,9,12,que,9,que,,PRON,obl,PRON,True,True,False,False,['que'],1.0
182,10,12,yo,10,yo,,PRON,nsubj,PRON,True,True,False,False,['yo'],1.0
183,11,12,amo,11,amar,,VERB,advcl,VERB,False,True,False,False,['amo'],1.0
184,12,12,su,12,su,,DET,det,DET,True,True,False,False,['su'],1.0
185,13,12,ruindad,13,ruindad,,NOUN,obj,NOUN,False,True,False,False,"['ruin', 'dad']",2.0
187,0,13,Es,0,ser,,AUX,cop,AUX,True,True,False,False,['es'],1.0
188,1,13,todavía,1,todavía,,ADV,advmod,ADV,True,True,False,False,"['to', 'da', 'vía']",3.0
189,2,13,un,2,uno,,DET,det,DET,True,True,False,False,['un'],1.0
190,3,13,recién,3,recién,,ADV,advmod,ADV,False,True,False,False,"['re', 'cién']",2.0
191,4,13,llegado,4,llegado,,ADJ,ROOT,ADJ,False,True,False,False,"['lle', 'ga', 'do']",3.0
192,5,13,y,5,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
193,6,13,de,6,de,,ADP,advmod,ADP,True,True,False,False,['de'],1.0
194,7,13,vez,7,vez,,NOUN,fixed,NOUN,True,True,False,False,['vez'],1.0
195,8,13,en,8,en,,ADP,fixed,ADP,True,True,False,False,['en'],1.0
196,9,13,cuando,9,cuando,,PRON,fixed,PRON,True,True,False,False,"['cuan', 'do']",2.0
197,10,13,sufre,10,sufrir,,VERB,conj,VERB,False,True,False,False,"['su', 'fre']",2.0
198,11,13,sus,11,su,,DET,det,DET,True,True,False,False,['sus'],1.0
199,12,13,crisis,12,crisis,,NOUN,nsubj,NOUN,False,True,False,False,"['cri', 'sis']",2.0
200,13,13,de,13,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
201,14,13,nostalgia,14,nostalgia,,NOUN,nmod,NOUN,False,True,False,False,"['nos', 'tal', 'gia']",3.0
203,0,14,En,0,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
204,1,14,el,1,el,,DET,det,DET,True,True,False,False,['el'],1.0
205,2,14,fondo,2,fondo,,NOUN,obl,NOUN,False,True,False,False,"['fon', 'do']",2.0
206,3,14,sé,3,saber,,VERB,ROOT,VERB,True,True,False,False,['sé'],1.0
207,4,14,que,4,que,,SCONJ,mark,SCONJ,True,True,False,False,['que'],1.0
208,5,14,no,5,no,,ADV,advmod,ADV,True,True,False,False,['no'],1.0
209,6,14,se,6,él,,PRON,obj,PRON,True,True,False,False,['se'],1.0
210,7,14,irá,7,ir,,VERB,ccomp,VERB,False,True,False,False,['irá'],1.0
211,8,14,nunca,8,nunca,,ADV,advmod,ADV,True,True,False,False,"['nun', 'ca']",2.0
212,9,14,porque,9,porque,,SCONJ,mark,SCONJ,True,True,False,False,"['por', 'que']",2.0
213,10,14,no,10,no,,ADV,advmod,ADV,True,True,False,False,['no'],1.0
214,11,14,tiene,11,tener,,VERB,advcl,VERB,True,True,False,False,"['tie', 'ne']",2.0
215,12,14,sitio,12,sitio,,NOUN,obj,NOUN,False,True,False,False,"['si', 'tio']",2.0
216,13,14,donde,13,donde,,PRON,obl,PRON,True,True,False,False,"['don', 'de']",2.0
217,14,14,ir,14,ir,,VERB,acl,VERB,True,True,False,False,['ir'],1.0
219,0,15,Dejé,0,dejar,,VERB,ROOT,VERB,False,True,False,False,"['de', 'jé']",2.0
220,1,15,mi,1,mi,,DET,det,DET,True,True,False,False,['mi'],1.0
221,2,15,bicicleta,2,bicicleta,,NOUN,obj,NOUN,False,True,False,False,"['bi', 'ci', 'cle', 'ta']",4.0
222,3,15,contra,3,contra,,ADP,case,ADP,True,True,False,False,['contra'],1.0
223,4,15,las,4,el,,DET,det,DET,True,True,False,False,['las'],1.0
224,5,15,rejas,5,reja,,NOUN,obl,NOUN,False,True,False,False,"['re', 'jas']",2.0
225,6,15,y,6,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
226,7,15,fui,7,ir,,AUX,aux,AUX,True,True,False,False,['fui'],1.0
227,8,15,a,8,a,,ADP,mark,ADP,False,True,False,False,['a'],1.0
228,9,15,ver,9,ver,,VERB,conj,VERB,True,True,False,False,['ver'],1.0
229,10,15,los,10,el,,DET,det,DET,True,True,False,False,['los'],1.0
230,11,15,tulipanes,11,tulipán,,NOUN,obj,NOUN,False,True,False,False,"['tu', 'li', 'pa', 'nes']",4.0
232,0,16,Me,0,yo,,PRON,obj,PRON,True,True,False,False,['me'],1.0
233,1,16,quedé,1,quedar,,VERB,ROOT,VERB,False,True,False,False,"['que', 'dé']",2.0
234,2,16,una,2,uno,,DET,det,DET,True,True,False,False,['una'],1.0
235,3,16,hora,3,hora,,NOUN,obl,NOUN,False,True,False,False,"['ho', 'ra']",2.0
236,4,16,mirándolos,4,mirándolo,,NOUN,nsubj,NOUN,False,True,False,False,"['mi', 'rán', 'do', 'los']",4.0
238,6,16,y,6,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
239,7,16,salí,7,salir,,VERB,conj,VERB,False,True,False,False,['salí'],1.0
240,8,16,incapaz,8,incapaz,,ADJ,obj,ADJ,False,True,False,False,"['in', 'ca', 'paz']",3.0
241,9,16,de,9,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
242,10,16,otra,10,otro,,DET,det,DET,True,True,False,False,['otra'],1.0
243,11,16,cosa,11,cosa,,NOUN,nmod,NOUN,False,True,False,False,"['co', 'sa']",2.0
245,0,17,El,0,el,,DET,det,DET,True,True,False,False,['el'],1.0
246,1,17,guardián,1,guardián,,PROPN,nsubj,PROPN,False,True,False,False,"['guar', 'dián']",2.0
247,2,17,de,2,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
248,3,17,los,3,el,,DET,det,DET,True,True,False,False,['los'],1.0
249,4,17,acuarios,4,acuario,,NOUN,nmod,NOUN,False,True,False,False,"['acua', 'rios']",2.0
250,5,17,sonreía,5,sonreir,,VERB,ROOT,VERB,False,True,False,False,"['son', 'reía']",2.0
251,6,17,perplejo,6,perplejo,,NOUN,obj,NOUN,False,True,False,False,"['per', 'ple', 'jo']",3.0
252,7,17,al,7,al,,ADP,mark,ADP,True,True,False,False,['al'],1.0
253,8,17,recibir,8,recibir,,VERB,advcl,VERB,False,True,False,False,"['re', 'ci', 'bir']",3.0
254,9,17,el,9,el,,DET,det,DET,True,True,False,False,['el'],1.0
255,10,17,billete,10,billete,,NOUN,obj,NOUN,False,True,False,False,"['bi', 'lle', 'te']",3.0
257,0,18,Me,0,yo,,PRON,obj,PRON,True,True,False,False,['me'],1.0
258,1,18,apoyaba,1,apoyar,,VERB,ROOT,VERB,False,True,False,False,"['apo', 'ya', 'ba']",3.0
259,2,18,en,2,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
260,3,18,la,3,el,,DET,det,DET,True,True,False,False,['la'],1.0
261,4,18,barra,4,barra,,NOUN,obl,NOUN,False,True,False,False,"['ba', 'rra']",2.0
262,5,18,de,5,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
263,6,18,hierro,6,hierro,,NOUN,nmod,NOUN,False,True,False,False,"['hie', 'rro']",2.0
264,7,18,que,7,que,,PRON,nsubj,PRON,True,True,False,False,['que'],1.0
265,8,18,bordea,8,bordear,,VERB,acl,VERB,False,True,False,False,"['bor', 'dea']",2.0
266,9,18,los,9,el,,DET,det,DET,True,True,False,False,['los'],1.0
267,10,18,acuarios,10,acuario,,NOUN,obj,NOUN,False,True,False,False,"['acua', 'rios']",2.0
268,11,18,y,11,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
269,12,18,me,12,yo,,PRON,obj,PRON,True,True,False,False,['me'],1.0
270,13,18,ponía,13,poner,,VERB,conj,VERB,False,True,False,False,"['po', 'nía']",2.0
271,14,18,a,14,a,,ADP,case,ADP,False,True,False,False,['a'],1.0
272,15,18,mirarlos,15,mirarlo,,NOUN,obj,NOUN,False,True,False,False,"['mi', 'rar', 'los']",3.0
274,0,19,Pero,0,pero,,CCONJ,advmod,CCONJ,True,True,False,False,"['pe', 'ro']",2.0
275,1,19,una,1,uno,,DET,det,DET,True,True,False,False,['una'],1.0
276,2,19,lagartija,2,lagartija,,NOUN,nsubj,NOUN,False,True,False,False,"['la', 'gar', 'ti', 'ja']",4.0
277,3,19,tiene,3,tener,,VERB,ROOT,VERB,True,True,False,False,"['tie', 'ne']",2.0
278,4,19,también,4,también,,ADV,advmod,ADV,True,True,False,False,"['tam', 'bién']",2.0
279,5,19,manos,5,mano,,NOUN,obj,NOUN,False,True,False,False,"['ma', 'nos']",2.0
280,6,19,así,6,así,,ADV,advmod,ADV,True,True,False,False,['así'],1.0
282,8,19,y,8,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
283,9,19,en,9,en,,ADP,case,ADP,True,True,False,False,['en'],1.0
284,10,19,nada,10,nada,,NOUN,obl,NOUN,True,True,False,False,"['na', 'da']",2.0
285,11,19,se,11,él,,PRON,obj,PRON,True,True,False,False,['se'],1.0
286,12,19,nos,12,yo,,PRON,obj,PRON,True,True,False,False,['nos'],1.0
287,13,19,parece,13,parecer,,VERB,conj,VERB,True,True,False,False,"['pa', 're', 'ce']",3.0
289,0,20,Me,0,yo,,PRON,obj,PRON,True,True,False,False,['me'],1.0
290,1,20,sorprendía,1,sorprender,,VERB,ROOT,VERB,False,True,False,False,"['sor', 'pren', 'día']",3.0
291,2,20,musitando,2,musitar,,VERB,advcl,VERB,False,True,False,False,"['mu', 'si', 'tan', 'do']",4.0
292,3,20,palabras,3,palabra,,NOUN,obj,NOUN,False,True,False,False,"['pa', 'la', 'bras']",3.0
293,4,20,de,4,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
294,5,20,consuelo,5,consuelo,,NOUN,nmod,NOUN,False,True,False,False,"['con', 'sue', 'lo']",3.0
296,7,20,transmitiendo,7,transmitir,,VERB,advcl,VERB,False,True,False,False,"['trans', 'mi', 'tien', 'do']",4.0
297,8,20,pueriles,8,pueril,,ADJ,obj,ADJ,False,True,False,False,"['pue', 'ri', 'les']",3.0
298,9,20,esperanzas,9,esperanzas,,PROPN,amod,PROPN,False,True,False,False,"['es', 'pe', 'ran', 'zas']",4.0
300,0,21,Los,0,el,,DET,det,DET,True,True,False,False,['los'],1.0
301,1,21,axolotl,1,axolotl,,NOUN,nsubj,NOUN,False,True,False,False,"['axo', 'lo', 'tl']",3.0
302,2,21,eran,2,ser,,AUX,cop,AUX,True,True,False,False,['eran'],1.0
303,3,21,como,3,como,,SCONJ,mark,SCONJ,True,True,False,False,"['co', 'mo']",2.0
304,4,21,testigos,4,testigo,,NOUN,ROOT,NOUN,False,True,False,False,"['tes', 'ti', 'gos']",3.0
305,5,21,de,5,de,,ADP,case,ADP,True,True,False,False,['de'],1.0
306,6,21,algo,6,algo,,PRON,nmod,PRON,True,True,False,False,"['al', 'go']",2.0
308,8,21,y,8,y,,CCONJ,cc,CCONJ,False,True,False,False,['y'],1.0
309,9,21,a,9,a,,ADP,conj,ADP,False,True,False,False,['a'],1.0
310,10,21,veces,10,veces,,NOUN,fixed,NOUN,True,True,False,False,"['ve', 'ces']",2.0
311,11,21,como,11,como,,SCONJ,fixed,SCONJ,True,True,False,False,"['co', 'mo']",2.0
312,12,21,horribles,12,horribl,,NOUN,parataxis,NOUN,False,True,False,False,"['ho', 'rri', 'bles']",3.0
313,13,21,jueces,13,juez,,ADJ,amod,ADJ,False,True,False,False,"['jue', 'ces']",2.0
315,0,22,Eran,0,ser,,AUX,cop,AUX,True,True,False,False,['eran'],1.0
316,1,22,larvas,1,larva,,ADJ,ROOT,ADJ,False,True,False,False,"['lar', 'vas']",2.0
318,3,22,pero,3,pero,,CCONJ,cc,CCONJ,True,True,False,False,"['pe', 'ro']",2.0
319,4,22,larva,4,larva,,NOUN,nsubj,NOUN,False,True,False,False,"['lar', 'va']",2.0
320,5,22,quiere,5,querer,,VERB,conj,VERB,True,True,False,False,"['quie', 're']",2.0
321,6,22,decir,6,decir,,NOUN,xcomp,NOUN,True,True,False,False,"['de', 'cir']",2.0
322,7,22,máscara,7,máscara,,PROPN,obj,PROPN,False,True,False,False,"['más', 'ca', 'ra']",3.0
